X,RecordID_ALA,COLLECTION.ID,CatalogNumber,Collection,SpeciesName,MonthCapture,YearCapture,LongitudeClim,LatitudeClim,Longitude,Latitude,distance2coast_m,elevation,IBRA_REG_CODE_7,IBRA_REG_NAME_7
2956,2077bcd6-0533-4ace-b8ee-a8b01a9c3b95,B33181,B33181,ANWC,Malurus lamberti,5,2002,117.3889,-22.9406,117.3889,-22.9406,247620.1026,389.6250916,PIL,Pilbara
629,218ddaa5-e27c-428e-8ce0-be99432d6b38,G23427,G23427,ANWC,Malurus lamberti,1,1995,153.1894,-28.4625,153.1894,-28.4625,48107.09407,138.6867981,SEQ,South Eastern Queensland
13014,220bf40e-3a5a-4547-a46c-2b1616c72e3d,A9480,A9480,WAM,Malurus lamberti,12,1964,113.975,-26.436944,113.975,-26.436944,7455.212941,33.08884811,YAL,Yalgoo
9736,22231814-3571-4792-b179-49907093d435,ABTC38831,ABTC38831,ABTC,Malurus lamberti assimilis,9,1998,137.3633,-26.3811,137.3633,-26.3811,695709.3085,31.3708992,SSD,Simpson Strzelecki Dunefields
11689,22b586c2-982a-406a-98a7-9d33551de782,G22741,G22741,ANWC,Malurus lamberti,10,1994,139.4875,-34.0856,139.4875,-34.0856,117383.4831,78.91204834,MDD,Murray Darling Depression
11729,22ba3cd8-b143-4702-970c-d5807ac1a906,G40549,G40549,ANWC,Malurus lamberti,10,2015,132.455,-13.526,132.455,-13.526,129123.3867,149.0065002,ARP,Arnhem Plateau
2972,22ca70cf-462e-463a-b029-9cfb7297daea,A15668,A15668,WAM,Malurus lamberti,5,1978,128.933333,-18.033333,128.933333,-18.033333,298851.0032,386.8828125,OVP,Ord Victoria Plain
1212,22f460fe-64b6-40b5-8653-55d513ec1741,A20197,A20197,WAM,Malurus lamberti,3,1986,125.3,-17.166667,125.3,-17.166667,102726.7682,425.6648865,CEK,Central Kimberley
4737,233d754b-9b54-4c8e-87fb-72e20b2522c4,A14365,A14365,WAM,Malurus lamberti,6,1975,126.766667,-14.166667,126.766667,-14.166667,11309.48717,52.21757889,NOK,Northern Kimberley
1213,23b64a8d-234c-455a-81e4-5badf251ebe5,A20158,A20158,WAM,Malurus lamberti,3,1986,126.182778,-16.3,126.182778,-16.3,148132.114,534.6223755,NOK,Northern Kimberley
