SAMPLE.ID,YearJJ,Tmean
SAM37,1995,18.83668908
SAM36,1991,18.84187015
SAM33,2001,18.84976753
ANWC129,2008,18.85357738
SAM36,1998,18.85392793
SAM35,2003,18.85400176
ANWC118,2001,18.85829361
SAM39,1999,18.86988989
SAM36,1997,18.88642247
SAM33,1988,18.88899414
ANWC109,1991,18.89197588
SAM39,1993,18.89402247
ANWC118,2005,18.89415717
ANWC108,1992,18.89528553
ANWC109,1981,18.8991394
SAM35,1999,18.90801501
SAM35,1993,18.92297824
SAM35,2006,18.9243381
ANWC109,1979,18.92549308
SAM35,1990,18.93078732
WAM55,1986,18.9329524
SAM35,1991,18.93449863
ANWC126,2001,18.93731117
ANWC135,2008,18.93783569
ANWC136,2008,18.93783569
SAM38,2001,18.9391048
SAM36,1996,18.94510889
SAM39,1990,18.94715778
SAM39,1998,18.95213811
ANWC102,1982,18.95479751
ANWC109,1982,18.95737219
SAM33,1989,18.95832936
SAM39,1991,18.9618233
ANWC102,1993,18.96732672
SAM39,1997,18.96963843
SAM41,1996,18.97105265
ANWC101,1994,18.97744838
ANWC101,1987,18.98145954
SAM36,2004,18.98420819
ANWC126,1992,18.99668559
SAM41,2006,19.00153557
SAM41,2010,19.0106252
SAM33,1992,19.01565234
ANWC108,1985,19.01757733
ANWC101,1995,19.02541486
SAM44,1988,19.02913475
SAM33,1995,19.0320104
SAM39,1996,19.03968867
SAM35,1998,19.04964161
SAM41,1998,19.05791163
SAM34,1994,19.05986134
SAM37,1994,19.05986134
SAM39,2004,19.08093699
SAM38,1988,19.08344595
SAM34,1991,19.09103537
SAM37,1991,19.09103537
SAM38,1989,19.09384823
SAM36,2002,19.09692995
ANWC101,1982,19.10848419
ANWC132,2008,19.11142159
ANWC133,2008,19.11142159
SAM34,1990,19.1184574
SAM37,1990,19.1184574
SAM41,2003,19.12952344
SAM35,1997,19.13371102
SAM34,1993,19.13785823
SAM37,1993,19.13785823
ANWC109,1988,19.14127978
SAM35,1996,19.14523832
SAM41,1997,19.15073228
ANWC108,1986,19.15716807
SAM35,2004,19.15929198
ANWC126,1995,19.16393964
ANWC101,1993,19.16608254
ANWC126,1989,19.18030262
SAM39,2002,19.18888458
ANWC108,1989,19.19065293
SAM41,1994,19.21467924
ANWC134,1992,19.21974508
SAM45,2004,19.21976991
ANWC108,1995,19.22424022
ANWC102,1983,19.22706612
ANWC131,2001,19.23827219
SAM34,1999,19.24227063
SAM37,1999,19.24227063
SAM38,1992,19.24596214
ANWC106,1997,19.24684849
ANWC107,1997,19.24684849
ANWC100,1984,19.24720001
WAM55,1992,19.24795385
ANWC100,1992,19.25211867
ANWC134,2001,19.26366917
SAM33,1994,19.26652058
SAM38,1995,19.27304888
ANWC102,1991,19.27787375
ANWC102,1981,19.28100928
SAM34,2003,19.28619886
SAM37,2003,19.28619886
ANWC108,1978,19.28649592
SAM35,2002,19.29191415
SAM36,2000,19.29320415
ANWC117,2002,19.29730105
SAM41,2008,19.30131737
ANWC102,1988,19.30646451
ANWC108,1993,19.30703107
ANWC108,1987,19.30724208
SAM33,1990,19.30942043
SAM41,1993,19.31059218
ANWC102,1977,19.31242243
SAM33,1991,19.31363114
ANWC100,1986,19.32004086
SAM19,1979,19.32097244
ANWC100,1989,19.3261919
SAM33,1993,19.32934618
ANWC100,1985,19.33012764
SAM41,1999,19.33096186
ANWC130,2001,19.33229367
ANWC126,1993,19.33547306
ANWC128,2001,19.33632541
ANWC108,1996,19.34397634
SAM41,2011,19.36185622
ANWC135,1992,19.36321187
ANWC136,1992,19.36321187
ANWC117,1993,19.37368806
ANWC126,1990,19.3812898
SAM45,2000,19.38301468
SAM34,2006,19.38445266
SAM37,2006,19.38445266
ANWC108,1994,19.38466891
SAM41,2002,19.38726544
ANWC102,1990,19.38759398
SAM39,2000,19.39693387
ANWC101,1983,19.40354951
ANWC135,2001,19.40396349
ANWC136,2001,19.40396349
SAM35,2000,19.40965899
SAM33,1999,19.41393177
ANWC129,2001,19.4153076
ANWC109,1990,19.42918197
SAM45,1996,19.43710995
WAM55,1984,19.43742124
SAM38,1994,19.44519218
ANWC105,1997,19.45794735
ANWC101,1981,19.47052495
ANWC117,2009,19.48084554
ANWC117,2007,19.48841381
SAM41,2004,19.49101067
SAM34,1998,19.49517028
SAM37,1998,19.49517028
SAM33,2003,19.49528217
ANWC128,1992,19.4994847
ANWC108,1979,19.49998268
ANWC126,1999,19.50138776
ANWC126,1991,19.50139992
ANWC108,1981,19.50247216
ANWC101,1991,19.50894801
ANWC101,1988,19.51221999
ANWC101,1977,19.51686271
ANWC132,1992,19.52649887
ANWC133,1992,19.52649887
SAM34,2004,19.52962844
SAM37,2004,19.52962844
SAM38,1990,19.5468123
ANWC100,1995,19.54796243
SAM34,1996,19.56518738
SAM37,1996,19.56518738
SAM38,1993,19.5688858
SAM33,2006,19.5754443
WAM55,1990,19.57662352
ANWC108,1982,19.58442585
SAM38,1991,19.58781735
ANWC101,1990,19.59380476
ANWC117,1998,19.59519386
ANWC131,1992,19.59636092
SAM38,1999,19.59835911
ANWC117,2008,19.60785818
ANWC132,2001,19.61811098
ANWC133,2001,19.61811098
ANWC117,1994,19.62171014
ANWC108,1983,19.62522817
ANWC100,1979,19.6290462
SAM36,2005,19.62932825
ANWC100,1978,19.62944547
ANWC109,1980,19.63504569
ANWC129,1992,19.63625248
ANWC126,1994,19.64097198
SAM34,1997,19.6420633
SAM37,1997,19.6420633
ANWC104,1976,19.64334559
ANWC108,1991,19.65962728
WAM55,1973,19.67141724
ANWC130,1992,19.67230312
WAM55,1989,19.67554156
ANWC117,1999,19.6789434
WAM55,1974,19.6828692
SAM33,1998,19.6859204
ANWC105,1994,19.70266588
SAM33,2004,19.71554367
ANWC105,1984,19.71608988
ANWC105,1978,19.71658643
ANWC134,1995,19.71663014
SAM39,2005,19.7214222
ANWC117,2000,19.72178459
ANWC131,1989,19.74201799
SAM34,2000,19.74788864
SAM37,2000,19.74788864
SAM33,1996,19.75329852
ANWC117,1990,19.75475534
ANWC100,1987,19.76713101
ANWC117,2006,19.78712853
ANWC130,1989,19.78836242
ANWC117,2004,19.7919693
SAM38,2003,19.7945803
SAM34,2002,19.80105503
SAM37,2002,19.80105503
ANWC134,1993,19.80218538
SAM35,2005,19.81091928
SAM33,1997,19.81711952
ANWC126,2003,19.81734467
ANWC100,1993,19.82190911
SAM38,2006,19.82583793
ANWC100,1994,19.8410298
ANWC126,2004,19.84166829
WAM55,1979,19.84917418
SAM32,1985,19.84939003
ANWC106,1984,19.85267162
ANWC107,1984,19.85267162
WAM55,1980,19.85349043
ANWC117,1997,19.85407297
ANWC128,1995,19.85967843
ANWC126,2006,19.87194141
ANWC71,1984,19.87312182
WAM55,1981,19.87758716
ANWC102,1980,19.87864621
ANWC131,1995,19.88819409
ANWC108,1988,19.88968913
ANWC105,1983,19.89089227
ANWC128,1989,19.89375591
SAM31,1985,19.89939117
ANWC106,1978,19.90474478
ANWC107,1978,19.90474478
ANWC135,1995,19.90505226
ANWC136,1995,19.90505226
SAM41,2005,19.9058036
ANWC100,1982,19.9130199
SAM33,2000,19.92355442
SAM38,2004,19.93048128
ANWC105,1996,19.931434
ANWC130,1995,19.93731817
SAM38,1998,19.94985596
ANWC135,1993,19.95325065
ANWC136,1993,19.95325065
ANWC131,1999,19.96561416
ANWC126,1998,19.97029114
ANWC100,1981,19.97826258
ANWC128,1993,19.98055402
ANWC129,1989,19.98340964
SAM33,2002,19.9839747
ANWC134,1989,19.9878912
SAM45,1988,19.99136639
ANWC129,1995,19.99298406
ANWC75,1982,19.9989183
ANWC131,1993,20.00023746
ANWC117,2003,20.00085203
SAM41,2007,20.00407155
ANWC108,1990,20.00543904
ANWC126,2000,20.01216952
ANWC126,1996,20.01252365
SAM38,1996,20.01393414
ANWC132,1995,20.02469508
ANWC133,1995,20.02469508
SAM41,2009,20.03143167
WAM55,1991,20.03213175
SAM38,1997,20.04189992
ANWC130,1999,20.04278946
ANWC105,1985,20.05004708
ANWC101,1980,20.05712144
ANWC105,1995,20.06175359
ANWC130,1993,20.06637828
ANWC117,1995,20.0704391
ANWC128,1999,20.07103745
SAM38,2000,20.0712134
WAM55,1975,20.07236735
ANWC100,1991,20.07704051
WAM55,1987,20.08032227
ANWC72,1982,20.0850606
ANWC73,1982,20.0850606
ANWC117,1996,20.0852414
ANWC134,1999,20.09549141
ANWC72,2001,20.10031811
ANWC73,2001,20.10031811
ANWC129,1993,20.10115417
ANWC106,1996,20.1029675
ANWC107,1996,20.1029675
ANWC106,1983,20.11331383
ANWC107,1983,20.11331383
ANWC132,1993,20.1231509
ANWC133,1993,20.1231509
ANWC117,1991,20.13713288
ANWC131,1990,20.14559523
SAM41,2000,20.15342728
ANWC126,1997,20.15585915
ANWC129,1999,20.15799634
ANWC71,1992,20.15894858
SAM38,2002,20.16122762
ANWC135,1989,20.16324059
ANWC136,1989,20.16324059
ANWC100,1983,20.16641617
ANWC134,2000,20.16924183
ANWC130,1990,20.17723226
SAM34,1987,20.18865585
SAM37,1987,20.18865585
SAM34,2005,20.18986893
SAM37,2005,20.18986893
ANWC117,1992,20.19769979
ANWC72,1989,20.19869169
ANWC73,1989,20.19869169
ANWC168,2010,20.21410465
ANWC100,1977,20.22236602
ANWC94,1974,20.22259903
ANWC71,1994,20.22861505
ANWC135,1999,20.23601659
ANWC136,1999,20.23601659
ANWC106,1992,20.2407488
ANWC107,1992,20.2407488
ANWC100,1988,20.24269772
ANWC105,1992,20.24549588
ANWC128,1990,20.24571371
ANWC117,2005,20.24698011
ANWC117,2001,20.25869679
WAM55,1982,20.2640849
ANWC71,1998,20.26482773
SAM17,1999,20.27099281
SAM18,1999,20.27099281
