,COLLECTION.ID,Number,ID,SAMPLE.ID,SEX,SPECIES,COLLECTION,COMMON.NAME,DATE,Period,Year,Age,LATITUDE,LONGITUDE,STATE,MISSINGNESS,INBREEDING,DEPTH,PC1,PC2,PC3,RecordID_ALA.ORIGINAL,RecordID_ALA,CatalogNumber,Collection,MonthCapture,YearCapture,Latitude,Longitude,distance2coast_m,elevation,IBRA_REG_CODE_7,IBRA_REG_NAME_7,NOTE
63,B41656,75,ANWC85_R1.fastq.gz,ANWC85,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,19/10/88,1986 - 1990,1988,31,-17.5,140.8333,QLD,0.103664,0.39839754,5.19623,0.123872832,0.21985876,-0.314247931,68a8f83f-e9b6-4ca8-b9a9-4f8bbb04afd8,68a8f83f-e9b6-4ca8-b9a9-4f8bbb04afd8,B41656,ANWC,10,1988,-17.5,140.8333,7455.212941,3.06834507,GUP,Gulf Plains,NA
105,B55160,90,ANWC146_R1.fastq.gz,ANWC146,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,19/7/10,2006 - 2010,2010,9,-16.429,127.9829,WA,0.0322866,0.12254587,4.16678,-0.446609656,0.224287082,0.24055615,6ac1a924-c39e-4b3c-8679-279611a7a567,6ac1a924-c39e-4b3c-8679-279611a7a567,B55160,ANWC,7,2010,-16.429,127.9829,106703.0281,174.842804,VIB,Victoria Bonaparte,NA
73,B49330,55,ANWC105_R1.fastq.gz,ANWC105,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,14/10/97,1996 - 2000,1997,22,-29.4217,147.555,NSW,0.154911,0.09964541,2.00354,0.470163555,-0.003085691,0.017553711,6bc82c9f-1429-483a-a448-e74d2d437fb7,6bc82c9f-1429-483a-a448-e74d2d437fb7,B49330,ANWC,10,1997,-29.4217,147.555,533366.7131,129.9203033,DRP,Darling Riverine Plains,NA
53,B32011,100,ANWC71_R1.fastq.gz,ANWC71,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,5/12/98,1996 - 2000,1998,21,-30.0419,144.7197,NSW,0.0171211,0.11933079,6.10962,-0.358249466,-0.25746012,-0.076586146,6c51d942-a3d7-405f-83ad-621941560e7e,6c51d942-a3d7-405f-83ad-621941560e7e,B32011,ANWC,12,1998,-30.0419,144.7197,706738.9951,97.6648407,MUL,Mulga Lands,NA
119,B55400,105,ANWC161_R1.fastq.gz,ANWC161,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,27/7/10,2006 - 2010,2010,9,-18.9261,127.7076,WA,0.0849986,0.12387902,2.78136,-0.226801682,0.058482691,0.044638879,733eddbf-35c4-4046-a8fc-eaddd4e9db59,733eddbf-35c4-4046-a8fc-eaddd4e9db59,B55400,ANWC,7,2010,-18.9261,127.7076,382269.1367,359.7543945,OVP,Ord Victoria Plain,NA
74,B49357,68,ANWC106_R1.fastq.gz,ANWC106,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,15/10/97,1996 - 2000,1997,22,-29.9222,145.7606,NSW,0.119206,0.09375598,2.20522,0.601993058,-0.012374825,0.036948433,7513b158-1cba-451c-9df0-446604aa5924,7513b158-1cba-451c-9df0-446604aa5924,B49357,ANWC,10,1997,-29.9222,145.7606,656184.4973,102.9981003,MUL,Mulga Lands,NA
29,ABTC119786,99,SAM37_R1.fastq.gz,SAM37,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,29/7/07,2006 - 2010,2007,12,-29.8801,130.1003,SA,0.164814,0.19002201,2.30731,-0.274227145,-0.108850028,-0.034204373,75f18074-fa17-440d-bce7-5fe485dc57f5,75f18074-fa17-440d-bce7-5fe485dc57f5,ABTC119786,ABTC,7,2007,-29.8801,130.1003,190330.9565,148.9822998,GVD,Great Victoria Desert,NA
15,ABTC113232,17,SAM26_R1.fastq.gz,SAM26,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,3/11/04,2001 - 2005,2004,15,-34.3753,139.4794,SA,0.134257,0.18956006,2.81008,0.776662309,-0.046115381,0.089515906,762ef00f-433f-4fdc-994c-f39025736468,762ef00f-433f-4fdc-994c-f39025736468,ABTC113232,ABTC,11,2004,-34.3753,139.4794,99176.70946,80.77060699,MDD,Murray Darling Depression,NA
116,B55370,102,ANWC158_R1.fastq.gz,ANWC158,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,26/7/10,2006 - 2010,2010,9,-18.5514,127.6862,WA,0.0945428,0.12355661,3.67774,-0.280866002,0.099078083,0.087462578,79aef888-ea8b-4d42-89a3-9cbe047deaef,79aef888-ea8b-4d42-89a3-9cbe047deaef,B55370,ANWC,7,2010,-18.5514,127.6862,343475.728,412.9125061,OVP,Ord Victoria Plain,NA
30,ABTC119851,117,SAM38_R1.fastq.gz,SAM38,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,3/8/07,2006 - 2010,2007,12,-29.2336,130.2,SA,0.0513002,0.19343558,5.26519,-0.24342347,-0.150552502,-0.046490893,808aaacb-d4d1-413e-ad59-86eea5935ec5,808aaacb-d4d1-413e-ad59-86eea5935ec5,ABTC119851,ABTC,8,2007,-29.2336,130.2,261032.339,237.5601044,GVD,Great Victoria Desert,NA
