SAMPLE.ID,YearJD,Ndays5
SAM26,1999,56
SAM26,2002,68
SAM26,2000,52
SAM27,1999,56
SAM27,2002,68
SAM27,2000,52
SAM27,2001,48
SAM27,2003,58
SAM27,2004,58
SAM28,2003,58
SAM28,2000,52
SAM28,1999,56
SAM28,2001,48
SAM28,2002,68
SAM28,2004,58
SAM44,2000,52
SAM44,2001,48
SAM44,2002,68
SAM44,2003,58
SAM44,1999,56
SAM44,2004,58
SAM45,2001,48
SAM45,1999,56
SAM45,2000,52
SAM45,2002,68
SAM45,2003,58
SAM45,2004,58
SAM46,2004,58
SAM46,2000,52
SAM46,2002,68
SAM46,2003,58
SAM46,2001,48
SAM46,1999,56
WAM56,1999,0
WAM56,2002,0
WAM56,2000,0
WAM56,2001,0
WAM56,2004,0
WAM56,2003,0
WAM57,2001,0
WAM57,1999,0
WAM57,2000,0
WAM57,2003,0
WAM57,2002,0
WAM57,2004,0
WAM58,2002,0
WAM58,2001,0
WAM58,2000,0
WAM58,1999,0
WAM58,2004,0
WAM58,2003,0
SAM29,1995,44
SAM29,1994,62
SAM29,1992,66
SAM29,1991,37
SAM29,1997,70
SAM29,1998,66
SAM29,1999,55
SAM29,1993,50
SAM29,1986,51
SAM29,1987,62
SAM29,1988,34
SAM29,1985,0
SAM29,1989,59
SAM29,1990,42
SAM29,1996,46
SAM30,1995,44
SAM30,1998,66
SAM30,1996,46
SAM30,1990,42
SAM30,1999,55
SAM30,1997,70
SAM30,1985,0
SAM30,1986,51
SAM30,1987,62
SAM30,1989,59
SAM30,1992,66
SAM30,1991,37
SAM30,1993,50
SAM30,1994,62
SAM30,1988,34
SAM31,1986,51
SAM31,1999,55
SAM31,1985,0
SAM31,1990,42
SAM31,1991,37
SAM31,1994,62
SAM31,1987,62
SAM31,1988,34
SAM31,1989,59
SAM31,1998,66
SAM31,1993,50
SAM31,1996,46
SAM31,1992,66
SAM31,1995,44
SAM31,1997,70
SAM32,1985,0
SAM32,1986,52
SAM32,1989,60
SAM32,1987,62
SAM32,1988,35
SAM32,1990,43
SAM32,1992,64
SAM32,1993,50
SAM32,1994,62
SAM32,1997,70
SAM32,1998,67
SAM32,1991,39
SAM32,1995,44
SAM32,1996,45
SAM32,1999,56
WAM59,1990,0
WAM59,1986,0
WAM59,1985,0
WAM59,1987,0
WAM59,1998,0
WAM59,1991,0
WAM59,1993,0
WAM59,1994,0
WAM59,1995,0
WAM59,1996,0
WAM59,1997,0
WAM59,1999,0
WAM59,1992,0
WAM59,1988,0
WAM59,1989,0
WAM60,1993,0
WAM60,1985,0
WAM60,1986,0
WAM60,1988,0
WAM60,1989,0
WAM60,1990,0
WAM60,1999,0
WAM60,1994,0
WAM60,1987,0
WAM60,1996,0
WAM60,1997,0
WAM60,1998,0
WAM60,1991,0
WAM60,1992,0
WAM60,1995,0
WAM63,1985,0
WAM63,1990,6
WAM63,1987,2
WAM63,1988,1
WAM63,1986,13
WAM63,1998,6
WAM63,1991,1
WAM63,1989,10
WAM63,1997,21
WAM63,1993,2
WAM63,1994,12
WAM63,1995,6
WAM63,1999,22
WAM63,1992,7
WAM63,1996,2
WAM64,1991,1
WAM64,1985,0
WAM64,1986,13
WAM64,1993,2
WAM64,1988,1
WAM64,1989,10
WAM64,1990,6
WAM64,1992,7
WAM64,1994,12
WAM64,1995,6
WAM64,1996,2
WAM64,1997,21
WAM64,1998,6
WAM64,1999,22
WAM64,1987,2
SAM29,2002,69
SAM29,2000,54
SAM29,2001,48
SAM29,2004,57
SAM29,2003,57
SAM29,2005,45
SAM30,2002,69
SAM30,2003,57
SAM30,2001,48
SAM30,2004,57
SAM30,2005,45
SAM30,2000,54
SAM31,2002,69
SAM31,2003,57
SAM31,2004,57
SAM31,2005,45
SAM31,2000,54
SAM31,2001,48
SAM32,2003,58
SAM32,2004,58
SAM32,2005,45
SAM32,2000,52
SAM32,2001,48
SAM32,2002,68
WAM59,2004,0
WAM59,2005,0
WAM59,2001,0
WAM59,2003,0
WAM59,2002,0
WAM59,2000,0
WAM60,2000,0
WAM60,2001,0
WAM60,2003,0
WAM60,2004,0
WAM60,2002,0
WAM60,2005,0
WAM63,2004,21
WAM63,2005,10
WAM63,2001,12
WAM63,2002,16
WAM63,2003,12
WAM63,2000,33
WAM64,2001,12
WAM64,2000,33
WAM64,2004,21
WAM64,2002,16
WAM64,2003,12
WAM64,2005,10
SAM33,1989,65
SAM33,1987,26
SAM33,1992,53
SAM33,1988,63
SAM33,1990,50
SAM33,1994,67
SAM33,1995,36
SAM33,1996,32
SAM33,1997,49
SAM33,1991,48
SAM33,1993,49
SAM33,1998,36
SAM33,1999,48
SAM33,2000,54
SAM33,2001,47
SAM34,1996,37
SAM34,1987,29
SAM34,1990,53
SAM34,1993,51
SAM34,1989,65
SAM34,1988,66
SAM34,1998,39
SAM34,1999,50
SAM34,2000,55
SAM34,2001,51
SAM34,1994,67
SAM34,1995,40
SAM34,1997,50
SAM34,1992,53
SAM34,1991,50
SAM35,1999,48
SAM35,1991,27
SAM35,1989,51
SAM35,1987,1
SAM35,1994,63
SAM35,1995,29
SAM35,1988,43
SAM35,1997,47
SAM35,1998,31
SAM35,1992,39
SAM35,1993,40
SAM35,2001,41
SAM35,1996,28
SAM35,2000,39
SAM35,1990,43
SAM36,1989,39
SAM36,1992,29
SAM36,1990,28
SAM36,1995,21
SAM36,1996,14
SAM36,1997,44
SAM36,1998,27
SAM36,1999,45
SAM36,1991,14
SAM36,2000,25
SAM36,2001,34
SAM36,1987,1
SAM36,1993,31
SAM36,1994,44
SAM36,1988,32
SAM37,1990,53
SAM37,1988,66
SAM37,1993,51
SAM37,1994,67
SAM37,1987,29
SAM37,1996,37
SAM37,1989,65
SAM37,1999,50
SAM37,2000,55
SAM37,2001,51
SAM37,1995,40
SAM37,1991,50
SAM37,1992,53
SAM37,1998,39
SAM37,1997,50
SAM38,1990,51
SAM38,1989,66
SAM38,1992,50
SAM38,1987,4
SAM38,1988,62
